Foerdersumme,link_total_sum,Begünstigter,link_company,Landkreis,link_location,BundesLand,link_lander,company_url,basis_praemie
"1.504.705,10",,"Milchwerke Schwaben eG – 89077 Neu-Ulm, GKSt",/karten/agrarsubventionen_2021-empfaengera7e84be6dd73dec382dc88d26f4c240a.html,"Ulm, Stadtkreis","/karten/ulm,_stadtkreis-agrarsubventionen_2021-landkreis_8421.html",Baden-Württemberg,/karten/baden-württemberg-agrarsubventionen_2021-bundesland_3de1eff1f013e413457d6de70c7dc493.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengera7e84be6dd73dec382dc88d26f4c240a.html,
"1.496.925,94",,"Agrar-Genossenschaft Schalkau e.G – 96528 Schalkau, Stadt",/karten/agrarsubventionen_2021-empfaenger72ae86707ed52ac28c4791bb224d3dca.html,"Sonneberg, Kreis","/karten/sonneberg,_kreis-agrarsubventionen_2021-landkreis_16072.html",Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger72ae86707ed52ac28c4791bb224d3dca.html,"342.826,76 €"
"1.493.947,24",,"Grossdrebnitzer Agrarbetriebsgesellschaft mbH vertreten durch den Geschaeftsfuehrer – 01877 Bischofswerda, Stadt",/karten/agrarsubventionen_2021-empfaengerad5cfd2c94fc23ce2946588d6c1fa50e.html,"Bautzen, Landkreis","/karten/bautzen,_landkreis-agrarsubventionen_2021-landkreis_14625.html",Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerad5cfd2c94fc23ce2946588d6c1fa50e.html,"510.513,49 €"
"1.493.605,26",,"Südzucker AG – 68165 Mannheim, Universitätsstadt",/karten/agrarsubventionen_2021-empfaenger6e515ba1dc970d960bb6f66b0a583d8b.html,"Mannheim, Stadtkreis","/karten/mannheim,_stadtkreis-agrarsubventionen_2021-landkreis_8222.html",Baden-Württemberg,/karten/baden-württemberg-agrarsubventionen_2021-bundesland_3de1eff1f013e413457d6de70c7dc493.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger6e515ba1dc970d960bb6f66b0a583d8b.html,"973.959,58 €"
"1.486.734,01",,"Wasser- und Bodenverband ""Stepenitz-Maurine"" – 23936 Grevesmühlen, Stadt",/karten/agrarsubventionen_2021-empfaenger8770bbbc13c5ee06393d30cfc8de832b.html,Landkreis Nordwestmecklenburg,/karten/landkreis_nordwestmecklenburg-agrarsubventionen_2021-landkreis_13074.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger8770bbbc13c5ee06393d30cfc8de832b.html,
"1.478.200,00",,"Raiffeisen-Handels-GmbH – 94094 Rotthalmünster, M",/karten/agrarsubventionen_2021-empfaenger1e1be6892f52f925d4b6f9befd8db71c.html,"Passau, Landkreis","/karten/passau,_landkreis-agrarsubventionen_2021-landkreis_9275.html",Bayern,/karten/bayern-agrarsubventionen_2021-bundesland_51150b7b6309d23b7d292c0be9fd3f21.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger1e1be6892f52f925d4b6f9befd8db71c.html,
"1.462.206,73",,"Ministerium f. Landwirtschaft, Umwelt und ländliche Räume – 24106 Kiel, Landeshauptstadt",/karten/agrarsubventionen_2021-empfaengera19250d8cdd992826dae45cbdcf8c22e.html,"Kiel, Landeshauptstadt, Kreisfreie Stadt","/karten/kiel,_landeshauptstadt,_kreisfreie_stadt-agrarsubventionen_2021-landkreis_1002.html",Schleswig-Holstein,/karten/schleswig-holstein-agrarsubventionen_2021-bundesland_b20684bddefbc33f6db8d8adbf6bc4e7.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengera19250d8cdd992826dae45cbdcf8c22e.html,
"1.461.783,04",,"Agrarges.Prießnitz mbH – 06618 Naumburg (Saale), Stadt",/karten/agrarsubventionen_2021-empfaengerf62df6e8fdcdce1bbe8a07e57e2fabd9.html,Burgenlandkreis,/karten/burgenlandkreis-agrarsubventionen_2021-landkreis_15084.html,Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerf62df6e8fdcdce1bbe8a07e57e2fabd9.html,"510.920,12 €"
"1.448.703,49",,K & S Agrar KG – 15831 Blankenfelde-Mahlow,/karten/agrarsubventionen_2021-empfaengercda5bec33a8a2e1f77d5a4bbbf2d7993.html,"Teltow-Fläming, Landkreis","/karten/teltow-fläming,_landkreis-agrarsubventionen_2021-landkreis_12072.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengercda5bec33a8a2e1f77d5a4bbbf2d7993.html,"907.431,31 €"
"1.443.407,73",,"Agrarprodukte  Dedelow GmbH – 17291 Prenzlau, Stadt",/karten/agrarsubventionen_2021-empfaenger8241da9a804869a20d5dd7d8fcfff034.html,"Uckermark, Landkreis","/karten/uckermark,_landkreis-agrarsubventionen_2021-landkreis_12073.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger8241da9a804869a20d5dd7d8fcfff034.html,"949.002,46 €"
"1.592.464,19",,"Stadt Vetschau – 03226 Vetschau/Spreewald / Wetoow/Blota, Stadt",/karten/agrarsubventionen_2021-empfaenger11f51bdf11da959774fd5e63760e0c81.html,"Oberspreewald-Lausitz, Landkreis","/karten/oberspreewald-lausitz,_landkreis-agrarsubventionen_2021-landkreis_12066.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger11f51bdf11da959774fd5e63760e0c81.html,
"1.571.480,26",,"Biosphärenreservatsamt Schaalsee-Elbe(BRA SCHELB) – 19246 Zarrentin am Schaalsee, Stadt",/karten/agrarsubventionen_2021-empfaenger6035934ae9a7cc2b8e55191d4d0ead2f.html,Landkreis Ludwigslust-Parchim,/karten/landkreis_ludwigslust-parchim-agrarsubventionen_2021-landkreis_13076.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger6035934ae9a7cc2b8e55191d4d0ead2f.html,
"1.567.875,80",,Hofgut Eichigt GmbH vertreten durch den Geschaeftsfuehrer – 08626 Eichigt,/karten/agrarsubventionen_2021-empfaenger67de7a343dacbda668aa30c8429eaed3.html,Vogtlandkreis,/karten/vogtlandkreis-agrarsubventionen_2021-landkreis_14523.html,Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger67de7a343dacbda668aa30c8429eaed3.html,"466.706,24 €"
"1.559.163,45",,Marktgemeinschaft Altes Land GmbH – 21635 Jork,/karten/agrarsubventionen_2021-empfaenger471a697bea668b30053f941c94834d36.html,"Stade, Landkreis","/karten/stade,_landkreis-agrarsubventionen_2021-landkreis_3359.html",Niedersachsen,/karten/niedersachsen-agrarsubventionen_2021-bundesland_032f311e743ecca8a33a292f451d151a.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger471a697bea668b30053f941c94834d36.html,
"1.546.424,45",,TG Ströhen-Süd – 49419 Wagenfeld,/karten/agrarsubventionen_2021-empfaenger28ae3ec2fb42200ffd68f5e3eb8d70c8.html,"Diepholz, Landkreis","/karten/diepholz,_landkreis-agrarsubventionen_2021-landkreis_3251.html",Niedersachsen,/karten/niedersachsen-agrarsubventionen_2021-bundesland_032f311e743ecca8a33a292f451d151a.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger28ae3ec2fb42200ffd68f5e3eb8d70c8.html,
"1.543.033,02",,LGH Landwirtschaftliche Gesellschaft mbH vertreten durch die Geschaeftsfuehrer – 01920 Ralbitz-Rosenthal / Ralbicy-Róant,/karten/agrarsubventionen_2021-empfaengerde0f387105342c6997609d1b26af7168.html,"Bautzen, Landkreis","/karten/bautzen,_landkreis-agrarsubventionen_2021-landkreis_14625.html",Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerde0f387105342c6997609d1b26af7168.html,"125.649,47 €"
